"","gene","C3N-00560_tumor","C3L-01682_tumor","C3L-01682_tumor.1","C3N-02423_tumor","C3N-02423_tumor.1","C3L-00095_tumor","C3N-00578_tumor","C3L-00001_tumor","C3N-02424_tumor","C3N-02424_tumor.1","C3N-00959_tumor","C3N-00737_tumor","C3N-00737_tumor.1","C3L-01330_tumor","C3L-01330_tumor.1","11LU016_tumor","C3N-02087_tumor","C3L-02345_tumor","C3N-01415_tumor","C3N-01023_tumor","C3N-02529_tumor","C3N-02529_tumor.1","C3L-00368_tumor","C3L-00263_tumor","C3L-00263_tumor.1","C3N-00294_tumor","C3L-02350_tumor","C3N-01072_tumor","C3N-00217_tumor","C3N-00217_tumor.1","C3L-00080_tumor","C3N-01488_tumor","C3N-01823_tumor","C3N-02002_tumor","C3N-02002_tumor.1","C3L-00973_tumor","C3N-00293_tumor","C3N-02067_tumor","C3N-02067_tumor.1","C3L-01632_tumor","C3N-01405_tumor","C3N-01030_tumor","C3N-02729_tumor","C3N-02729_tumor.1","C3L-01924_tumor","C3L-01924_tumor.1","C3L-00093_tumor","C3N-02380_tumor","C3N-02380_tumor.1","C3N-01021_tumor","C3N-02582_tumor","C3N-02582_tumor.1","C3N-02422_tumor","C3N-02422_tumor.1","C3L-00422_tumor","C3L-00422_tumor.1","C3N-02155_tumor","C3L-01862_tumor","C3N-01016_tumor","C3L-00140_tumor","C3N-00167_tumor","C3N-02089_tumor","C3N-00738_tumor","C3N-01414_tumor","C3L-00094_tumor","C3L-00893_tumor","C3N-02003_tumor","C3N-02003_tumor.1","C3L-01889_tumor","C3L-02365_tumor","C3N-00433_tumor","C3N-00546_tumor","C3N-00547_tumor","C3N-00574_tumor","C3N-00199_tumor","C3L-00510_tumor","C3L-00510_tumor.1","C3N-00580_tumor","C3N-01416_tumor","C3N-00572_tumor","C3N-02586_tumor","C3N-02586_tumor.1","C3N-00545_tumor","C3N-00203_tumor","C3N-01799_tumor","C3L-02508_tumor","C3L-02348_tumor","C3N-02572_tumor","C3N-02572_tumor.1","C3L-00604_tumor","C3N-01024_tumor","C3N-00551_tumor","C3N-00180_tumor","C3N-01074_tumor","C3N-02433_tumor","C3N-02433_tumor.1","C3N-02588_tumor","C3N-02588_tumor.1","C3N-00550_tumor","C3N-01413_tumor","C3N-02145_tumor","C3N-00704_tumor","C3N-00704_tumor.1","C3L-00144_tumor","C3N-02158_tumor","C3L-00913_tumor","C3L-00279_tumor","C3L-00279_tumor.1","C3N-01489_tumor","C3L-01890_tumor","C3N-01071_tumor","C3N-00223_tumor","11LU022_tumor","C3L-02549_tumor","C3N-00549_tumor","C3L-02219_tumor","C3N-00552_tumor","C3N-01410_tumor","11LU035_tumor","C3N-02000_tumor","C3N-02000_tumor.1","11LU013_tumor","C3N-01842_tumor","C3N-00579_tumor","C3N-02421_tumor","C3N-02421_tumor.1","C3L-00009_tumor","C3N-00559_tumor","C3N-02149_tumor","C3N-00556_tumor","C3N-00169_tumor","C3L-01683_tumor","C3L-01683_tumor.1"
"1","CNNM3",0.624835270122141,0.84370814290229,0.84370814290229,0.723907578045433,0.723907578045433,0.678051243699601,0.725485062770159,0.718180511129714,0.77759533601272,0.77759533601272,1.00301650437587,0.893101317229588,0.893101317229588,1.25557739499444,1.25557739499444,0.726329617864493,0.669910808712979,0.502522478894612,0.869366721587751,0.833192903474605,0.757583425814968,0.757583425814968,0.633727354431307,0.709415225918684,0.709415225918684,0.743842836339449,0.831054871857673,0.684641735589345,1.37260092877914,1.37260092877914,0.745173578943368,0.606378670945431,0.757491801400777,0.799570786882352,0.799570786882352,0.806519680191662,0.758486857252869,0.900297214970505,0.900297214970505,0.876892384506695,0.852279742981378,0.597958864288862,0.884692763816503,0.884692763816503,0.73136605660349,0.73136605660349,0.540855687545948,0.792362567927286,0.792362567927286,1.05597405006517,1.05736860202331,1.05736860202331,1.10958533380974,1.10958533380974,0.915472443742094,0.915472443742094,0.899030372992636,0.615032105007318,0.921513947703943,0.924689848772022,0.806779543938075,1.01211809542144,0.76054852516973,1.07403646518643,0.640553541187467,0.920507001643367,0.687354635539007,0.687354635539007,1.04919464695598,0.840485860171792,0.685826210045086,0.763779826385489,0.896835229482327,0.961825693519903,0.796267582195574,0.417718585375308,0.417718585375308,0.791378649426299,0.640233652070234,0.918977137294949,0.649937706191328,0.649937706191328,0.867133246357577,0.775529390742522,0.68128566622653,0.735666652521181,0.905135392493339,1.0224826174897,1.0224826174897,0.97121776638163,0.821197607851407,0.970131243714183,1.3795534904162,0.885207153680151,0.795242962024514,0.795242962024514,1.01704963655363,1.01704963655363,1.03349181456648,0.765152744379428,1.18754672705813,0.82974408765278,0.82974408765278,0.696716208727481,1.22865406921709,0.709639192053083,0.727007397378701,0.727007397378701,0.644751265092753,0.951726650317764,0.930778387991128,0.778626119924156,0.565773600729302,1.13097895327333,1.27589035405889,0.732686383154673,0.723912918818572,0.788489758974632,0.596820541622503,1.00428376466583,1.00428376466583,0.826896564093202,0.695806451174251,1.02453498625738,0.645072185090586,0.645072185090586,0.841432469856127,0.993364885165391,0.71424069895715,0.778777921181977,1.08720944981284,0.785385763752481,0.785385763752481
"2","RUVBL1",1.29138673915429,0.913986819301342,0.913986819301342,1.12432357234622,1.12432357234622,1.09588703095173,1.11898162845935,0.958655542929384,1.1321371922888,1.1321371922888,1.04567960698363,1.42102466997874,1.42102466997874,1.09395385207865,1.09395385207865,1.32388822295577,1.14889217082099,1.02862240990638,1.30301845995255,1.12117320288831,1.33514552391982,1.33514552391982,1.13897690964259,1.19330050059392,1.19330050059392,1.21967830012639,1.25825477684387,1.37838704431785,1.30868003944751,1.30868003944751,1.51078568275034,1.11351052873919,1.22200787184426,1.17191139324438,1.17191139324438,1.24248396405504,1.11631743217378,1.17692799426094,1.17692799426094,1.14463417072239,1.41002848022774,1.25899739180573,1.04039333408222,1.04039333408222,1.08240150559286,1.08240150559286,0.974050054734157,0.989923002420299,0.989923002420299,1.08769314948326,1.07677856642101,1.07677856642101,1.11181024961991,1.11181024961991,1.04856411045545,1.04856411045545,1.89455608587093,1.03585191699594,1.1486573867939,1.30208683638746,1.04860045338386,1.53729562482811,0.888770621649003,1.11868156692145,1.10092479443777,1.04513629778124,1.04426662553562,1.04426662553562,1.04336549735246,1.11437008989404,1.00945286668965,1.35984463569621,1.2806143472753,1.12366362006379,1.25710001364116,1.61178431083992,1.61178431083992,1.53494747521415,1.26778837269102,1.14693071577822,1.12567846558043,1.12567846558043,0.923308781251587,1.49903681411323,1.34774159161607,0.884401300418814,1.04262269500343,1.11424049585148,1.11424049585148,1.23785376425529,1.28285106446659,1.03045308363017,1.09885212070684,1.21507470007341,1.03677570655643,1.03677570655643,1.42744980703948,1.42744980703948,1.03329337845882,1.0672708059593,1.08923760747269,0.962996809909207,0.962996809909207,1.34103843501846,1.13760528960079,0.873106575223368,1.08525067373645,1.08525067373645,1.18874226812399,1.11988944608987,1.82609008336307,0.998958803866091,1.57832734094747,1.10190697181085,1.07833746306412,1.12094436623737,1.19454863330464,1.1559075033023,1.20648998307077,1.10977175859197,1.10977175859197,1.21546791239397,1.1850535311957,1.24559339680501,1.0987240421319,1.0987240421319,1.02434156829334,1.44471300584459,1.19934712719205,1.37900262610195,1.07673948044062,0.915181134329624,0.915181134329624
"3","RPL12",1.5670656596503,0.985984294154966,0.985984294154966,1.15836570085483,1.15836570085483,1.40893390466143,1.31608910254998,1.37723915984366,1.39156069686036,1.39156069686036,1.02138671008785,1.27483722315801,1.27483722315801,1.06504836060887,1.06504836060887,1.30712994817313,1.43152023621147,1.04438129994237,1.23658216828597,1.47512901048039,1.15885005778263,1.15885005778263,1.07466901709727,1.28606754481268,1.28606754481268,1.34132272203962,1.12102555895953,1.43143278665241,1.31751506026831,1.31751506026831,1.17429384633687,1.34272385414213,1.21262898585613,1.10241131886975,1.10241131886975,1.23781326692295,1.26505610697641,1.19918368832514,1.19918368832514,1.1107884063513,1.27743610523923,1.38161193904808,0.88574577912372,0.88574577912372,1.2371497179674,1.2371497179674,1.18027573017734,0.869539848576513,0.869539848576513,1.12796510846611,1.17854033898921,1.17854033898921,1.11946482001446,1.11946482001446,1.25310225394101,1.25310225394101,1.49861643883623,1.11217697421959,1.33398915930505,1.23046216193069,1.18652731377125,1.56000353980935,1.20234080015614,1.3535058368756,1.39870732708061,1.01956588933255,1.26850636399267,1.26850636399267,1.31846644625792,1.12359747206083,1.22875130909681,1.40362277931938,1.29446015151931,1.27700912542248,1.12259239405628,1.25109618917176,1.25109618917176,1.22563755235081,1.17567927170192,1.12000093249081,1.47501572365645,1.47501572365645,1.18510924567063,1.39874037409587,1.33780539005824,1.09652534046632,1.02625737852972,1.11407420327743,1.11407420327743,1.23851546355664,1.45261240271938,1.45770255760077,1.05320797694859,1.41097177036443,1.09378664068763,1.09378664068763,1.32858266560624,1.32858266560624,1.06863687232425,1.15206348906607,1.32362732321008,1.04574527108113,1.04574527108113,1.32333944270007,1.55880545704241,1.22338966060732,1.23176017178943,1.23176017178943,1.29806201566296,1.12295746644479,1.37859322548261,1.15212134147637,1.45649187297133,1.10087069052496,1.58654923214179,1.15767868478994,1.33045230774894,1.07292653490532,1.28148141983735,1.17220945361336,1.17220945361336,0.975930048470533,1.29675293791448,1.07508008878641,1.23379361995174,1.23379361995174,1.24370651855043,1.19606234797345,1.48950279718003,1.53452457653313,1.10852098199634,1.15199205486076,1.15199205486076
"4","SLC40A1",1.06133408804516,1.65865317408938,1.65865317408938,NA,NA,NA,1.36563761302423,NA,0.637940371669693,0.637940371669693,0.956926317210732,NA,NA,NA,NA,NA,0.810178701557987,NA,NA,NA,NA,NA,NA,1.00786071564953,1.00786071564953,NA,0.880338407773345,NA,NA,NA,NA,NA,NA,NA,NA,1.05463116225539,1.20073828198998,NA,NA,NA,NA,0.616925564013523,0.565574604682119,0.565574604682119,0.964996332896052,0.964996332896052,NA,NA,NA,NA,1.01236895794148,1.01236895794148,NA,NA,1.15870563538891,1.15870563538891,NA,0.557647496253768,0.629310773003403,NA,NA,0.447837162669604,1.11537675734199,1.15908880824636,NA,NA,0.775268890332209,0.775268890332209,0.857271399406303,NA,1.06097702469352,0.76793118639353,NA,NA,0.778611850304614,NA,NA,0.733962057785389,1.28755235523517,NA,1.0354745458468,1.0354745458468,NA,NA,NA,0.755520949944382,1.61968851400427,NA,NA,0.673680487275595,NA,0.983595351837,0.460696907458643,NA,NA,NA,0.863921488717275,0.863921488717275,NA,NA,0.674304055640763,NA,NA,NA,NA,NA,0.835451782688003,0.835451782688003,NA,NA,NA,NA,NA,NA,NA,0.753487896863566,1.46867566897944,0.639097785741916,NA,NA,NA,0.552109374988888,1.34522292842653,0.918763628975989,NA,NA,0.888582195027378,NA,1.0838381311752,NA,1.11826707398849,1.10011156243616,1.10011156243616
"5","SGCG",0.475987444929874,NA,NA,0.342032551340727,0.342032551340727,0.339921660581659,1.21157381898121,0.306354054060344,NA,NA,0.43300473778574,NA,NA,NA,NA,0.272986872410279,0.401347281820116,0.295598340358577,NA,NA,NA,NA,NA,0.965253254705634,0.965253254705634,NA,0.364817878662409,NA,NA,NA,NA,NA,0.368959430100334,NA,NA,0.261677590858764,0.484604004313555,NA,NA,NA,NA,0.395083383186231,0.360541406061959,0.360541406061959,0.354868905327993,0.354868905327993,0.182070362424659,NA,NA,NA,0.24412243673063,0.24412243673063,NA,NA,NA,NA,NA,0.254440021696971,NA,NA,0.376315573622757,NA,0.837823501347055,0.353877635183969,NA,NA,0.357284385700065,0.357284385700065,0.51532272671593,0.44265077672552,0.277693443543836,0.301572058571598,NA,NA,0.323125208446765,0.202683747466452,0.202683747466452,NA,NA,0.418775430543934,0.235896194101046,0.235896194101046,0.56779377795639,NA,0.230890185328802,0.569322737453893,0.345347776573316,0.327339545331527,0.327339545331527,0.255470838748921,NA,NA,0.220110957372752,0.625701188075922,NA,NA,0.426640455547462,0.426640455547462,0.285256327253062,NA,0.235890023396867,NA,NA,NA,NA,0.238037439059372,NA,NA,NA,0.519170153632973,0.265828925410675,NA,0.371043727540993,0.44405417905621,NA,0.30266606332555,0.754298621541277,0.435476462844084,NA,NA,NA,NA,NA,0.328500826260206,NA,NA,0.339653982489121,0.528435748442883,NA,NA,NA,0.341936031381439,0.341936031381439
"6","BABAM2",1.06548802009189,1.02228081935289,1.02228081935289,0.990432271148744,0.990432271148744,1.16023274533048,0.874430371376375,0.969866531595457,1.03295664573382,1.03295664573382,1.14422233494173,0.964813887904305,0.964813887904305,1.10310887644645,1.10310887644645,0.99345272379115,1.07936228247123,1.02820216195039,1.00859549811572,1.02184660457816,1.07025568927343,1.07025568927343,1.15996180723031,1.12306090713789,1.12306090713789,0.900505666844642,0.961713818507093,1.02481299225273,0.95132922965758,0.95132922965758,1.11335746239403,0.9936926913897,1.06843084278668,1.13044733979168,1.13044733979168,0.840243945674312,1.0352999657735,0.953271570971652,0.953271570971652,1.09066493318267,1.06563275433845,1.06758068573395,1.0649643453941,1.0649643453941,0.941519923806142,0.941519923806142,1.0625674183465,1.03582104565251,1.03582104565251,0.989576105741118,1.1491072666036,1.1491072666036,1.30748969018105,1.30748969018105,0.92243872517321,0.92243872517321,0.955375502800726,0.805011778778368,0.917984522062392,0.987451096730864,1.03224017639914,0.937739171164506,0.986291621964351,1.07941591267521,0.925320562263958,1.05410832768816,1.02311091995449,1.02311091995449,0.844319520119701,0.972780701231204,1.06446472957261,1.01345354743501,0.904752862272494,0.978522169605321,1.00526337844921,1.13056699225727,1.13056699225727,1.12639867544212,0.93541282757492,0.966947611265057,0.9685715077056,0.9685715077056,0.965309012300299,0.896243201108161,1.18221191030106,0.788868597183118,0.985955302851902,1.11801640284746,1.11801640284746,0.989338880119239,1.02385062111297,1.07091086382675,0.960734740875295,1.01268686526763,0.966633520691608,0.966633520691608,0.944976532241593,0.944976532241593,0.896668407725929,1.13907871035592,0.863689839585435,0.990239317808984,0.990239317808984,1.06896653990963,0.959713670373617,1.16502063410327,0.929002708300614,0.929002708300614,1.12740311025993,0.9717097726415,1.07956327796715,1.02413656510155,1.06213171425772,1.08122621695618,1.08685424284097,1.10957141403659,1.06578883424177,1.01808286308019,1.04711244408564,1.0329875664846,1.0329875664846,0.924656015987729,1.08851908616439,1.03125833272822,1.04773630973169,1.04773630973169,1.12964036340723,0.929563575513382,1.08293164723137,1.08659335221083,0.932851934052422,1.05408505362911,1.05408505362911
"7","SLC37A1",1.84930699207701,1.05716974003008,1.05716974003008,NA,NA,NA,3.42263530733942,NA,1.88766611323988,1.88766611323988,2.96624267559637,1.40483901663066,1.40483901663066,2.46079789325409,2.46079789325409,NA,NA,1.82688840948268,2.52010330256726,5.13938454965486,2.34578337937218,2.34578337937218,2.02259412718631,3.31325311091153,3.31325311091153,4.1787566841374,1.50107025535763,1.44674247095863,1.44337938193683,1.44337938193683,1.20110759967632,2.68552887903821,1.39810775629048,1.56591980578471,1.56591980578471,2.87496190687121,1.38925353499559,3.01607851218415,3.01607851218415,1.68945716258792,1.90510092959798,2.09986966143833,2.46791925761702,2.46791925761702,3.2991611181288,3.2991611181288,1.93779569743119,2.24127705238072,2.24127705238072,2.16429977809799,3.2807391139339,3.2807391139339,2.15560626936071,2.15560626936071,NA,NA,1.47151174690024,3.48011392026694,1.67820343544714,1.59442468988616,NA,1.49854179922945,1.79574225516233,NA,3.13860215864789,1.63570463576022,1.43114352487114,1.43114352487114,5.82873278676196,2.53092880698052,1.1196394764201,NA,2.7204789698638,1.78423669301196,3.67432209456408,0.524895681606392,0.524895681606392,1.21099703334565,2.26354093063048,NA,1.47437978564695,1.47437978564695,NA,1.49006516617397,NA,1.75436795736292,1.95338193889512,NA,NA,4.11808222913296,3.49663506433206,NA,3.23056444914421,NA,1.47037826495495,1.47037826495495,3.72700009170038,3.72700009170038,NA,1.46841533575235,3.23346983738898,4.01197688047643,4.01197688047643,2.64358744876959,3.40250565432225,2.12976891008543,1.53108342207909,1.53108342207909,1.5012709421032,NA,NA,2.74294792807846,1.09366630837742,5.42829217213374,1.81772361428287,1.57995954173536,1.55689760187179,2.08413086010121,0.648371000256987,1.96052874932994,1.96052874932994,1.9145123291512,NA,3.08659254470391,3.42946804992985,3.42946804992985,NA,NA,4.10172810407341,2.74628156099375,NA,1.13004454284158,1.13004454284158
"8","RUVBL2",1.15055177185598,0.891802927123156,0.891802927123156,1.07338516263041,1.07338516263041,1.0206081617721,0.964835894550372,1.03907604488319,1.04437584557237,1.04437584557237,0.984424718377291,1.21388487037964,1.21388487037964,0.934616241400698,0.934616241400698,1.18795617881871,1.01984980769443,1.08019618227342,1.20031752212666,1.15945644607731,1.08164238897357,1.08164238897357,1.0163993612548,1.16973641229929,1.16973641229929,1.04291779232575,1.11903478657449,1.31411782336641,1.19355400352126,1.19355400352126,1.46824019376052,1.06976801362885,1.27081946408264,1.07336616001273,1.07336616001273,1.09601911656205,1.02560681833424,1.0262195894003,1.0262195894003,1.01654364924969,1.27037713735491,1.09719896403585,0.89719410496182,0.89719410496182,0.93876111984335,0.93876111984335,0.992220374308386,0.921300721366808,0.921300721366808,0.993099993524258,1.00730873556062,1.00730873556062,0.891111028093861,0.891111028093861,1.00058620005638,1.00058620005638,1.7854525812456,0.992254441935755,1.10150048216156,1.05826024623353,1.04573115301375,1.37972593283312,0.87044066451799,0.968455318728036,1.07912927555445,0.99638641368152,1.05660129160351,1.05660129160351,0.93095762134162,1.22098473158375,1.00006951521823,1.11482946473089,1.19896185186298,1.22073806979394,1.22303799125292,1.42819345824447,1.42819345824447,1.29049492801021,1.04967435964497,1.04471572651578,0.902476774986296,0.902476774986296,0.879894313753962,1.43033149930957,1.23120276203403,0.903453663712626,0.956692373369191,0.992022356658233,0.992022356658233,1.17358346659513,1.20985595570587,1.07020500068515,1.08224914894451,1.32148097359447,0.974993467110307,0.974993467110307,1.25686417669449,1.25686417669449,0.987726039836556,0.969445830522133,0.944432320201411,0.900284663872951,0.900284663872951,1.21209056140943,0.928337240555445,0.948246878691611,0.990353628526086,0.990353628526086,1.08940999063418,1.15978358331704,1.73065004792799,0.93467835714981,1.27661653508054,1.08720050477443,0.913325129329634,0.948286561388899,1.10468826595862,1.01826224867276,1.05690953434455,1.01290963923472,1.01290963923472,1.03504756688284,1.06991694737923,1.13081085214647,0.915114758010903,0.915114758010903,0.959360310856117,1.22175251988478,1.17772454657343,1.1925297425836,1.00358382629133,0.862746159051744,0.862746159051744
"9","RXRA",0.775936979817344,0.871655478271151,0.871655478271151,1.03842932416435,1.03842932416435,1.04446611621418,0.94493492745555,NA,0.791220434911532,0.791220434911532,0.884397495944793,0.748778754529429,0.748778754529429,1.27062356082933,1.27062356082933,1.05748605427062,0.966430846437789,0.774936548433442,0.983894745002299,0.919481710400977,1.04319900088078,1.04319900088078,1.0095501333099,0.713116762192828,0.713116762192828,0.79247905169488,0.801499033581191,0.94924721900202,0.857374516906912,0.857374516906912,0.959527863366921,1.14349881298179,0.799316846903471,0.993370912288009,0.993370912288009,0.818696213813935,1.11093632978294,1.06391170395108,1.06391170395108,0.792766259438003,0.861800221994456,1.05209413420137,1.20039283236574,1.20039283236574,0.923310024318297,0.923310024318297,1.02376495490212,0.916189604964826,0.916189604964826,1.73387603305179,1.00645613803496,1.00645613803496,1.0749863444216,1.0749863444216,1.10517471238507,1.10517471238507,0.868316352692067,0.928189384455584,0.915802205623982,0.894835572305763,NA,0.894575448777947,0.926912383580117,0.866680269885362,0.857275291344049,1.00129509039876,0.722405235768793,0.722405235768793,1.14044969292052,1.00385215970376,0.980377667512402,0.9495794981788,0.766332934704221,0.63946402659065,1.09640895222263,1.43524262777851,1.43524262777851,0.793468986570176,1.01912508114235,0.85259497751019,1.07637712191929,1.07637712191929,1.1259705684112,0.721273964061366,0.996240338353764,0.968108512562762,0.965502130646614,1.11077784426296,1.11077784426296,1.12634826657999,0.93655235892402,0.933259791837001,0.63761982147043,NA,1.00666590319143,1.00666590319143,0.920027040069137,0.920027040069137,NA,0.89703686430206,1.12603606094508,0.925106276131469,0.925106276131469,0.928771318700981,0.762364363992846,0.976917804949297,1.04783355480778,1.04783355480778,0.796221960193103,0.81964525578411,NA,1.24356678631362,1.03233800704101,0.974269382673896,0.765475630102934,0.830475282200555,1.05823125924325,0.698382709687382,0.968040032321866,1.02797552752298,1.02797552752298,0.887436022226058,1.01970758127903,1.0556735604895,1.09070429189884,1.09070429189884,1.113749232566,0.863737610477152,0.939518419392949,0.861636011491702,1.42302506064689,0.935040980861625,0.935040980861625
"10","ROBO2",0.592168713453971,NA,NA,0.512735718823468,0.512735718823468,NA,1.47117798956432,NA,NA,NA,1.02204581378337,NA,NA,1.19150462637002,1.19150462637002,NA,0.628586915261243,NA,0.6035142540916,0.484548681850087,0.444253177774038,0.444253177774038,1.04835928214074,1.02360559204182,1.02360559204182,NA,1.08657169348923,1.01249878202792,0.65191926537385,0.65191926537385,0.603657601586267,0.648406081899067,0.361491633222936,0.963777706301208,0.963777706301208,0.940079624221524,1.12229403856544,0.656711074948339,0.656711074948339,1.12530049040608,NA,0.404214247957622,0.769437610388591,0.769437610388591,0.797433767336732,0.797433767336732,NA,0.821863892520527,0.821863892520527,1.06551274431715,NA,NA,1.05860913410765,1.05860913410765,NA,NA,0.606803443430499,0.760514608835453,NA,0.597153405474503,NA,NA,0.831653872742397,0.767725608328861,0.471908914537468,1.10397388623226,0.927878473236617,0.927878473236617,1.58372991902437,0.317733870003729,0.749000720666342,0.64010308634322,0.777705245815811,1.08855421910813,NA,NA,NA,NA,NA,0.716663234320116,0.683022182161122,0.683022182161122,NA,0.62743552032309,1.14563450451606,1.64368991770507,0.829954389600988,NA,NA,NA,0.483969086257488,NA,0.610554822456221,NA,1.04382605174168,1.04382605174168,0.550145062605152,0.550145062605152,NA,0.884530535605361,1.26560040634921,NA,NA,0.588923063817676,NA,NA,NA,NA,NA,0.974862075158576,NA,1.13974189337798,NA,1.96067466768808,1.12471012065178,0.755556936133705,0.496640860428076,0.375745149305755,0.582889960472711,NA,NA,NA,NA,NA,NA,NA,0.839931569787262,NA,NA,NA,NA,0.718344518977856,0.718344518977856
